example_id                                                             | status  | run_time        |
./spec/components/schools/facilities_grid_component_spec.rb[1:2:3]     | passed  | 0.00584 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:3:1]     | passed  | 0.0038 seconds  |
./spec/components/schools/facilities_grid_component_spec.rb[1:3:2]     | passed  | 0.0039 seconds  |
./spec/components/schools/facilities_grid_component_spec.rb[1:4:1]     | passed  | 0.00436 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:4:2]     | passed  | 0.0064 seconds  |
./spec/components/schools/facilities_grid_component_spec.rb[1:4:3]     | passed  | 0.00691 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:4:4]     | passed  | 0.0108 seconds  |
./spec/components/schools/facilities_grid_component_spec.rb[1:5:1]     | passed  | 0.00359 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:5:2]     | passed  | 0.00343 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:5:3]     | passed  | 0.00404 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:5:4]     | passed  | 0.00332 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:5:5]     | passed  | 0.00344 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:5:6]     | passed  | 0.00394 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:5:7]     | passed  | 0.00404 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:6:1]     | passed  | 0.02351 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:6:2]     | passed  | 0.01094 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:6:3]     | passed  | 0.01166 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:6:4]     | passed  | 0.00568 seconds |
./spec/components/schools/facilities_grid_component_spec.rb[1:7:1]     | passed  | 0.0289 seconds  |
./spec/components/schools/facilities_grid_component_spec.rb[1:8:1]     | passed  | 0.01005 seconds |
./spec/components/schools/hero_component_spec.rb[1:1:1]                | passed  | 0.01222 seconds |
./spec/components/schools/hero_component_spec.rb[1:1:2]                | passed  | 0.00516 seconds |
./spec/components/schools/hero_component_spec.rb[1:2:1]                | passed  | 0.01486 seconds |
./spec/components/schools/hero_component_spec.rb[1:2:2]                | passed  | 0.0157 seconds  |
./spec/components/schools/hero_component_spec.rb[1:2:3]                | passed  | 0.01252 seconds |
./spec/components/schools/hero_component_spec.rb[1:2:4]                | passed  | 0.02036 seconds |
./spec/components/schools/hero_component_spec.rb[1:2:5:1]              | passed  | 0.01447 seconds |
./spec/components/schools/hero_component_spec.rb[1:2:6:1]              | passed  | 0.01164 seconds |
./spec/components/schools/hero_component_spec.rb[1:2:7:1]              | passed  | 0.01927 seconds |
./spec/components/schools/hero_component_spec.rb[1:3:1:1]              | passed  | 0.01281 seconds |
./spec/components/schools/hero_component_spec.rb[1:3:2:1]              | passed  | 0.1073 seconds  |
./spec/components/schools/hero_component_spec.rb[1:3:3:1]              | passed  | 0.02135 seconds |
./spec/components/schools/hero_component_spec.rb[1:3:4:1]              | passed  | 0.01191 seconds |
./spec/components/schools/hero_component_spec.rb[1:4:1:1]              | passed  | 0.01129 seconds |
./spec/components/schools/hero_component_spec.rb[1:4:2:1]              | passed  | 0.01069 seconds |
./spec/components/schools/hero_component_spec.rb[1:4:2:2:1]            | passed  | 0.01023 seconds |
./spec/components/schools/hero_component_spec.rb[1:4:3:1]              | passed  | 0.01324 seconds |
./spec/components/schools/hero_component_spec.rb[1:4:3:2:1]            | passed  | 0.01317 seconds |
./spec/components/schools/hero_component_spec.rb[1:4:4:1]              | passed  | 0.01103 seconds |
./spec/components/schools/hero_component_spec.rb[1:4:4:2:1]            | passed  | 0.0107 seconds  |
./spec/components/schools/hero_component_spec.rb[1:5:1:1]              | passed  | 0.01035 seconds |
./spec/components/schools/hero_component_spec.rb[1:5:1:2]              | passed  | 0.01126 seconds |
